"","City","Hc","SE_Hc","Hw","SE_Hw"
"1","Germany, Berlin",0.664227024119885,0.00852184640572138,0.66179359955245,0.0117444311130453
"2","Switzerland, Geneva",0.693343982957303,0.000552132195842971,0.667497833441912,0.0117694767624422
"3","Switzerland, Basel",0.624704565972533,0.0111744781337204,0.622268729732651,0.011775784032295
"4","France, Paris",0.732614767608545,0.0099916126444464,0.672214020309482,0.0118715578743845
"5","Sweden, Stockholm",0.68136040000952,0.0147321122929965,0.721325612117776,0.012062385444198
"6","Italy, Milan",0.724040307092756,0.0194028139550343,0.709114214281375,0.0121287869839417
"7","Czech Republic, Prague",0.683704209267667,0.0150470501449503,0.670193916314269,0.012424701890676
"8","Hungary, Budapest",0.626983256946213,0.0107135704687595,0.64499224236493,0.0123845270708424
"9","Denmark, Copenhagen",0.754500674092801,0.0514965493895476,0.758248319960693,0.0130880003858217
